SR Tendulkar    57    6    21    3    0    6    1
SR Watson    1624    690    421    83    5    200    37
SS Mundhe    5    5    1    0    0    1    0
SS Sarkar    34    4    16    1    0    4    0
ST Jayasuriya    375    93    149    21    0    22    16
STR Binny    486    163    157    33    3    44    13
Sunny Gupta    45    1    11    0    0    4    3
SW Tait    557    281    143    25    1    71    12
T Henderson    40    15    12    4    0    5    0
T Thushara    152    67    48    10    0    15    4
TA Boult    222    87    47    12    1    28    6
TG Southee    474    158    100    26    6    49    18
TL Suman    195    45    75    14    0    8    10
TM Dilshan    361    85    134    13    1    27    15
TP Sudhindra    132    22    26    8    0    9    9
Umar Gul    166    73    48    10    0    17    5
UT Yadav    1980    651    520    95    6    238    50
V Kohli    343    62    135    24    0    25    10
V Pratap Singh    289    82    73    13    2    31    10
V Sehwag    233    46    53    4    0    19    16
V Shankar    19    1    1    1    0    1    2
VR Aaron    783    291    179    24    5    92    28
VRV Singh    531    128    137    30    2    58    16
VS Malik    254    94    69    10    3    30    6
VS Yeligati    53    10    13    0    0    7    2
VY Mahesh    478    143    130    17    2    47    20
WA Mota    94    27    30    9    0    4    5
WD Parnell    651    283    192    34    0    80    11
WPUJC Vaas    345    138    88    8    1    40    13
Y Gnaneswara Rao    7    3    1    1    0    1    0
Y Nagar    117    20    33    2    0    11    6
Y Venugopal Rao    329    66    96    16    1    30    13
YA Abdulla    294    104    58    15    0    32    13
YK Pathan    1278    429    474    51    4    93    53
YS Chahal    827    223    282    44    3    40    48
Yuvraj Singh    969    270    387    68    4    53    37
Z Khan    2059    800    549    111    7    242    49
