H Osinde	127	51	16	9	1	15	5
H Patel	96	31	26	7	0	8	4
H Shahid	16	13	6	5	0	0	0
HA Varaiya	295	128	103	16	0	19	14
Hamid Hassan	352	154	113	30	1	38	4
Hamza Hotak	173	71	63	15	0	11	6
Harbhajan Singh	575	230	243	53	6	25	18
Haseeb Amjad	189	90	49	7	0	27	3
HF Gurney	54	21	18	3	0	6	1
HMCM Bandara	94	35	36	6	0	4	5
HMRKB Herath	171	88	63	13	0	7	9
HS Baidwan	191	65	51	15	0	23	3
I Sharma	388	123	89	20	1	43	14
I Udana	172	61	43	17	0	15	5
I Wardlaw	135	44	33	8	0	17	3
IDR Bradshaw	21	13	9	1	0	1	1
IE O'Brien	116	31	24	4	0	15	4
Iftikhar Anjum	67	13	25	3	0	3	4
IG Butler	469	154	120	27	3	43	19
IH Romaine	19	5	7	2	0	2	0
IK Pathan	598	215	148	33	2	63	21
Imad Wasim	38	17	14	2	0	2	2
Imran Tahir	354	127	194	22	2	11	11
Irfan Ahmed	183	81	55	10	0	15	8
IS Sodhi	92	34	28	6	0	7	4
Izatullah Dawlatzai	130	28	24	3	0	13	8
J Botha	802	324	330	55	2	59	20
J Davidson	15	11	5	1	0	2	0
J Lewis	55	20	9	4	2	5	2
J Louw	49	21	15	6	0	4	1
J Mubarak	17	1	3	2	0	1	1
J Theron	254	68	83	20	3	20	7
JA Morkel	808	239	232	55	4	64	33
JAR Blain	61	37	24	5	1	6	0
Jasdeep Singh	21	14	7	3	0	2	0
JB Reva	37	25	17	3	0	2	1
JC Tredwell	415	98	150	26	1	24	19
JD Nel	72	52	22	6	0	5	3
JD Ryder	68	22	26	5	0	5	2
JDF Vandersay	44	7	22	5	0	0	2
JDP Oram	770	197	216	49	2	78	23
JDS Neesham	226	87	77	16	1	18	7
JE Root	95	20	16	5	1	6	7
JE Taylor	444	192	100	28	2	48	15
JEC Franklin	407	133	124	31	1	35	13
JF Mooney	165	81	55	9	0	17	4
JH Davey	128	25	36	14	0	10	4
JH Kallis	325	126	89	26	0	37	6
JH Stander	76	13	11	5	1	7	4
JJ Smit	29	7	3	4	0	3	1
JJ van der Wath	203	73	61	12	2	19	6
JK Kamande	96	38	39	3	1	9	2
JK Mukhiya	56	27	21	6	1	5	0
JL Denly	9	3	1	0	0	2	0
JL Ontong	82	6	17	1	1	6	6
JL Pattinson	95	43	21	6	0	8	5
JM Anderson	521	206	146	30	1	54	16
JM Davison	42	7	24	3	0	3	0
JM Muirhead	106	34	41	9	1	2	6
JN Gillespie	48	6	10	1	0	6	2
JN Snape	12	0	4	1	0	0	1
JO Holder	91	28	23	5	0	10	3
JO Ngoche	156	84	53	10	1	14	4
JOA Gordon	80	34	17	3	1	12	1
Joginder Sharma	134	35	29	8	1	11	7
JP Duminy	399	127	159	21	0	36	9
JP Faulkner	285	84	105	19	0	16	13
JR Hazlewood	146	47	23	7	3	13	8
JR Hopes	277	80	99	16	0	26	7
JS Patel	267	68	88	12	1	17	14
Junaid Khan	232	72	45	12	1	28	8
Junaid Siddiqui	204	93	59	14	1	27	1
JW Dernbach	962	320	230	59	2	104	32
JW Hastings	62	30	22	4	0	8	0
JW Wilson	43	6	9	3	0	4	2
JWM Dalrymple	37	16	9	1	0	5	1
K Ganesh	12	4	6	1	0	1	0
K Rabada	175	56	36	9	1	19	7
K Santokie	271	120	77	20	0	25	9
K Weeraratne	95	26	34	4	0	3	6
KA Pollard	512	149	170	32	2	38	20
KAJ Roach	250	148	57	24	1	19	11
Kamran Shazad	72	21	19	2	1	7	3
Karan KC	103	31	11	6	0	11	6
Karim Sadiq	287	114	114	29	3	16	7
KD Mills	1205	397	289	48	9	131	44
Khawar Ali	18	10	8	2	0	0	1
Khurram Chohan	47	8	5	3	0	9	0
Khurram Khan	8	4	0	0	0	2	0
KJ Abbott	308	108	69	20	3	37	7
KJ Coetzer	14	8	6	4	0	0	0
KJ O'Brien	464	191	169	33	3	40	10
KM Dabengwa	54	5	10	1	0	6	3
KM Jarvis	255	91	62	20	1	27	7
KMDN Kulasekara	970	429	237	69	3	109	25
KO Meth	59	22	13	3	0	7	2
KP Pietersen	53	10	11	1	0	4	4
KS Lokuarachchi	42	17	13	3	1	5	0
KS Williamson	116	18	32	9	0	6	7
KTGD Prasad	37	5	4	3	0	4	1
KV Sharma	28	10	10	1	0	1	2
KW Richardson	40	14	16	2	0	5	0
L Balaji	120	44	30	6	0	12	5
L Klazinga	20	8	2	3	0	3	0
L Nou	63	27	23	5	0	6	1
L Oluoch	27	7	3	0	0	3	2
LE Plunkett	37	7	6	7	1	2	1
LJ Woodcock	70	22	27	3	1	4	3
LJ Wright	453	117	135	38	2	32	18
LL Tsotsobe	523	235	138	36	3	58	12
LMP Simmons	54	12	14	3	0	7	1
LN Oluoch	30	21	4	0	0	2	3
LN Onyango	111	17	21	6	0	9	7
LPC Silva	15	7	9	1	0	1	0
LS Baker	56	25	14	2	0	8	1
LV van Beek	105	28	41	4	0	11	2
M Ansari	56	26	7	6	1	7	1
M de Lange	166	55	43	5	1	17	7
M Kartik	27	7	11	4	0	2	0
M Morkel	967	443	251	47	6	103	32
M Muralitharan	286	123	124	16	2	19	8
M Ntini	291	83	58	8	1	37	11
M Pushpakumara	27	7	7	0	0	2	2
M Vijay	9	4	7	1	0	0	0
M Zondeki	37	9	3	4	0	2	3
MA Leask	92	35	32	4	0	4	6
MA Parker	34	11	8	1	0	6	0
MA Starc	469	261	126	27	3	49	14
MA Wood	26	6	8	1	0	1	2
MAA Jamil	519	170	173	39	2	40	17
Mahmudullah	395	137	160	34	3	23	11
Mansoor Amjad	2	5	2	0	0	0	0
Mashrafe Mortaza	819	255	201	44	6	92	24
MB van Schelven	30	25	11	2	1	3	0
MBS Jonkman	41	19	19	4	0	2	1
MC Henriques	66	14	16	2	0	7	3
MC Sorensen	282	109	77	10	3	29	10
MD Bates	106	21	27	4	1	8	6
MD Dai	48	19	18	1	0	1	4
MDK Perera	71	26	23	4	0	4	4
Mehrab Hossain jnr	19	9	5	1	0	3	0
Mehran Khan	31	12	7	1	0	4	1
MEK Hussey	5	1	5	0	0	0	0
MF Maharoof	145	51	47	10	0	15	3
MG Johnson	746	345	200	57	2	81	17
MH Yardy	287	113	114	31	1	18	6
Mirwais Ashraf	340	142	122	24	4	23	11
MJ Clarke	216	49	73	11	3	13	10
MJ Guptill	11	3	1	0	0	1	1
MJ Henry	71	29	19	1	0	11	1
MJ Mason	61	29	16	4	1	7	1
MJ McClenaghan	558	202	138	23	2	62	20
MJ Santner	28	9	10	2	0	2	1
MJG Rippon	186	66	55	19	1	6	11
ML Lewis	49	19	15	6	0	4	1
MM Ali	73	23	21	1	0	8	3
MM Iqbal	26	12	22	2	0	0	0
MM Patel	86	26	18	2	0	10	4
MM Sharma	138	51	26	10	0	17	4
MN Samuels	555	153	182	43	3	35	23
MN Waller	4	3	2	1	0	0	0
Mohammad Amir	448	195	108	32	1	55	8
Mohammad Ashraful	204	40	66	16	0	10	11
Mohammad Asif	333	120	76	19	1	45	6
Mohammad Hafeez	1086	420	432	64	6	64	42
Mohammad Irfan	244	106	53	21	1	29	5
Mohammad Kashif	27	9	10	2	1	1	1
Mohammad Nabi	678	274	225	47	5	41	30
Mohammad Nadeem	19	11	11	2	0	1	0
Mohammad Naveed	74	24	16	4	0	11	1
Mohammad Sami	204	68	43	11	1	19	10
Mohammad Shahzad (2)	27	3	5	0	0	4	1
Mohammad Tauqir	53	19	17	1	0	4	3
Mohammed Shami	118	47	18	7	0	14	5
Mominul Haque	32	0	14	1	0	1	2
MP O'Dowd	7	8	1	0	0	0	1
MP Stoinis	13	1	3	0	0	1	1
MR Gillespie	239	115	52	22	3	23	7
MR Marsh	60	13	20	3	2	4	2
MR Swart	281	128	97	19	2	20	10
MRJ Watt	140	28	32	6	0	9	10
MS Aulakh	71	31	13	8	0	9	1
MS Kasprowicz	56	13	18	6	0	5	1
MS Panesar	40	7	9	3	1	1	3
Mudassar Bukhari	566	244	174	52	4	54	10
Muhammad Ghous	19	9	7	0	0	3	0
Mustafizur Rahman	80	36	23	8	1	5	3
MW Machan	108	34	49	5	0	8	2
N Boje	27	9	11	1	0	2	1
N Deonarine	87	20	15	6	0	9	4
N Madziva	42	8	10	5	0	4	1
N Mushangwe	136	34	48	2	0	12	6
N Vanua	54	39	14	7	0	5	1
Nadeem Ahmed	141	69	46	11	1	16	1
Naeem Islam	120	31	42	5	0	8	6
Najeeb Amar	29	5	5	4	0	4	0
Nasir Aziz	21	12	9	0	0	3	0
Nasir Hossain	128	47	43	14	1	9	3
Naved-ul-Hasan	70	28	25	10	1	4	1
Nawroz Mangal	57	22	29	2	0	3	2
Nazmul Hossain	56	11	11	6	0	7	0
NE Bonner	16	4	8	1	0	0	1
NG Jones	14	3	4	5	0	0	0
Nizakat Khan	58	41	34	6	0	0	2
NJ Astle	50	15	18	2	0	4	2
NL McCullum	1235	405	507	67	1	82	43
NLTC Perera	645	171	193	42	4	62	18
NM Carter	141	50	36	9	1	18	2
NM Coulter-Nile	323	113	74	18	3	39	8
NM Hauritz	46	21	14	6	0	2	2
NM Odhiambo	130	45	44	13	2	12	1
